customer_id,customer_name,gmail
D-C42,"Hilda Halimah, M.Kom.",hilda.219@gmail.com
D-C17,"Titin Nainggolan, M.TI.",titin.268@gmail.com
D-C519,Wawan Padmasari,wawan.119@gmail.com
D-C582,Febi Utami,febi.995@gmail.com
D-C234,R.A. Putri Kurniawan,r.a..775@gmail.com
D-C1,"T. Danuja Mulyani, M.M.",t..881@gmail.com
D-C109,Cemeti Maryati,cemeti.951@gmail.com
D-C512,Drs. Dian Marbun,drs..254@gmail.com
D-C75,Putu Mardhiyah,putu.594@gmail.com
D-C424,Umay Aryani,umay.549@gmail.com
D-C483,Sidiq Lailasari,sidiq.924@gmail.com
D-C67,Drs. Harjasa Budiyanto,drs..683@gmail.com
D-C453,Puti Kasiyah Saputra,puti.208@gmail.com
D-C485,"drg. Prakosa Pudjiastuti, S.IP",drg..587@gmail.com
D-C606,"Mariadi Wahyuni, M.TI.",mariadi.265@gmail.com
D-C319,Rahmi Laksita,rahmi.344@gmail.com
D-C186,Mala Puspita,mala.329@gmail.com
D-C613,Kawaca Zulkarnain,kawaca.518@gmail.com
D-C344,Sadina Nurdiyanti,sadina.856@gmail.com
D-C518,"Dr. Dadap Haryanto, M.Farm",dr..166@gmail.com
D-C85,Drs. Zulfa Astuti,drs..599@gmail.com
D-C219,H. Dasa Wahyuni,h..772@gmail.com
D-C554,Violet Padmasari,violet.897@gmail.com
D-C86,"Dr. Yulia Sihombing, M.Kom.",dr..668@gmail.com
D-C248,Shakila Suryono,shakila.148@gmail.com
D-C14,Wadi Setiawan,wadi.346@gmail.com
D-C249,Dt. Tri Utami,dt..924@gmail.com
D-C561,Winda Astuti,winda.475@gmail.com
D-C313,Tgk. Putri Maulana,tgk..742@gmail.com
D-C374,Dimas Pudjiastuti,dimas.626@gmail.com
D-C93,Dimaz Tarihoran,dimaz.542@gmail.com
D-C135,"Queen Usada, S.Ked",queen.356@gmail.com
D-C548,Yessi Zulkarnain,yessi.931@gmail.com
D-C556,Puti Vicky Halim,puti.278@gmail.com
D-C482,Vega Budiyanto,vega.114@gmail.com
D-C51,Wawan Permadi,wawan.489@gmail.com
D-C62,"R. Digdaya Mangunsong, S.Pd",r..201@gmail.com
D-C258,Dasa Nainggolan,dasa.607@gmail.com
D-C294,Ilsa Yolanda,ilsa.679@gmail.com
D-C422,"Jumadi Mandasari, M.Pd",jumadi.946@gmail.com
D-C475,"Kurnia Nababan, M.M.",kurnia.372@gmail.com
D-C502,Drs. Timbul Permata,drs..573@gmail.com
D-C262,Jais Mandala,jais.553@gmail.com
D-C552,Tina Dabukke,tina.140@gmail.com
D-C397,Daruna Prakasa,daruna.182@gmail.com
D-C387,Puput Saputra,puput.607@gmail.com
D-C526,Aswani Dongoran,aswani.255@gmail.com
D-C69,Dr. Eli Sihombing,dr..698@gmail.com
D-C77,Ani Januar,ani.926@gmail.com
D-C353,Ulya Rahayu,ulya.880@gmail.com
D-C162,Tasdik Megantara,tasdik.553@gmail.com
D-C544,Tasdik Yuliarti,tasdik.458@gmail.com
D-C619,"Arsipatra Sitorus, M.Pd",arsipatra.361@gmail.com
D-C140,Upik Gunawan,upik.247@gmail.com
D-C492,"drg. Danuja Santoso, S.T.",drg..513@gmail.com
D-C119,Ratih Yolanda,ratih.827@gmail.com
D-C260,"Hilda Saragih, S.Pd",hilda.806@gmail.com
D-C547,Farah Maheswara,farah.141@gmail.com
D-C35,Tgk. Wani Laksmiwati,tgk..777@gmail.com
D-C505,"Karsa Suwarno, S.IP",karsa.383@gmail.com
D-C559,Dr. Respati Safitri,dr..482@gmail.com
D-C650,"Tira Mayasari, S.T.",tira.160@gmail.com
D-C428,drg. Rahayu Purwanti,drg..821@gmail.com
D-C120,Enteng Laksmiwati,enteng.399@gmail.com
D-C83,Nasab Marbun,nasab.283@gmail.com
D-C307,Ana Sihotang,ana.727@gmail.com
D-C586,Kezia Rahimah,kezia.829@gmail.com
D-C108,Jasmin Usamah,jasmin.471@gmail.com
D-C18,"Luthfi Mandasari, S.Gz",luthfi.817@gmail.com
D-C610,"Harja Hardiansyah, M.Ak",harja.123@gmail.com
D-C324,Ir. Wulan Gunarto,ir..177@gmail.com
D-C355,Tantri Simanjuntak,tantri.850@gmail.com
D-C46,"Rahmi Manullang, S.I.Kom",rahmi.412@gmail.com
D-C182,Drs. Dinda Hastuti,drs..181@gmail.com
D-C160,"Uchita Januar, S.Gz",uchita.697@gmail.com
D-C348,drg. Eli Uwais,drg..270@gmail.com
D-C12,Jaka Utama,jaka.745@gmail.com
D-C89,Pardi Rajata,pardi.273@gmail.com
D-C488,Uli Suwarno,uli.572@gmail.com
D-C148,Ir. Caket Rahmawati,ir..319@gmail.com
D-C395,Emong Irawan,emong.175@gmail.com
D-C494,Upik Januar,upik.192@gmail.com
D-C302,Aurora Maryadi,aurora.398@gmail.com
D-C575,Ajeng Napitupulu,ajeng.859@gmail.com
D-C571,"Samiah Iswahyudi, S.Psi",samiah.488@gmail.com
D-C122,Dodo Wijayanti,dodo.654@gmail.com
D-C50,"Estiono Saputra, M.M.",estiono.342@gmail.com
D-C32,"Panji Handayani, M.Kom.",panji.544@gmail.com
D-C363,Belinda Utama,belinda.598@gmail.com
D-C208,Diana Pranowo,diana.300@gmail.com
D-C335,Kasusra Halim,kasusra.947@gmail.com
D-C499,Daliman Pranowo,daliman.719@gmail.com
D-C202,T. Galang Narpati,t..680@gmail.com
D-C637,Prabawa Hastuti,prabawa.997@gmail.com
D-C346,"Paris Halim, M.M.",paris.667@gmail.com
D-C117,"Samiah Hutasoit, S.Farm",samiah.391@gmail.com
D-C246,Saka Wahyuni,saka.137@gmail.com
D-C618,Jessica Winarno,jessica.368@gmail.com
D-C96,Kamidin Januar,kamidin.845@gmail.com
D-C263,"Puti Paulin Suryono, S.E.",puti.194@gmail.com
D-C306,Tantri Handayani,tantri.719@gmail.com
D-C574,Natalia Manullang,natalia.314@gmail.com
D-C608,Banawi Haryanto,banawi.324@gmail.com
D-C63,"Embuh Maulana, S.E.",embuh.456@gmail.com
D-C427,"Ilsa Palastri, M.M.",ilsa.400@gmail.com
D-C256,Dirja Kuswoyo,dirja.867@gmail.com
D-C136,Ana Novitasari,ana.309@gmail.com
D-C614,Jamil Maryati,jamil.446@gmail.com
D-C429,Lala Habibi,lala.159@gmail.com
D-C545,Ganjaran Purwanti,ganjaran.674@gmail.com
D-C286,"Gandi Nainggolan, S.I.Kom",gandi.655@gmail.com
D-C474,Dr. Bahuwarna Halimah,dr..141@gmail.com
D-C91,"Cakrabirawa Wibisono, S.Kom",cakrabirawa.554@gmail.com
D-C503,Siska Puspasari,siska.432@gmail.com
D-C576,Pardi Sihombing,pardi.153@gmail.com
D-C30,"Puti Ina Hasanah, S.Sos",puti.942@gmail.com
D-C464,"Sutan Cawisono Latupono, S.Sos",sutan.618@gmail.com
D-C412,"Dr. Slamet Suwarno, M.M.",dr..838@gmail.com
D-C497,"Puti Mutia Melani, M.Pd",puti.906@gmail.com
D-C407,Drs. Iriana Suryatmi,drs..772@gmail.com
D-C546,Kasusra Puspita,kasusra.919@gmail.com
D-C495,dr. Abyasa Irawan,dr..793@gmail.com
D-C442,"Asmuni Wijaya, S.IP",asmuni.330@gmail.com
D-C487,"Ir. Tantri Pertiwi, S.Pd",ir..726@gmail.com
D-C332,"Saadat Megantara, S.IP",saadat.732@gmail.com
D-C161,Farah Waskita,farah.904@gmail.com
D-C443,Elon Suartini,elon.720@gmail.com
D-C612,"Drs. Maida Pranowo, M.TI.",drs..155@gmail.com
D-C579,dr. Harjaya Dongoran,dr..153@gmail.com
D-C104,Bakiono Fujiati,bakiono.365@gmail.com
D-C287,"Harjaya Prasasta, S.IP",harjaya.280@gmail.com
D-C147,Zahra Prakasa,zahra.845@gmail.com
D-C215,"Kartika Pratama, S.Gz",kartika.522@gmail.com
D-C529,"dr. Novi Sudiati, M.Kom.",dr..295@gmail.com
D-C166,Paiman Hidayat,paiman.544@gmail.com
D-C81,Chandra Hariyah,chandra.271@gmail.com
D-C311,"T. Samsul Kusumo, M.Kom.",t..296@gmail.com
D-C305,Ganda Haryanto,ganda.352@gmail.com
D-C430,Nugraha Habibi,nugraha.560@gmail.com
D-C196,Umar Dabukke,umar.573@gmail.com
D-C4,Eja Oktaviani,eja.503@gmail.com
D-C10,Karja Pangestu,karja.106@gmail.com
D-C436,"Olivia Laksmiwati, S.Gz",olivia.352@gmail.com
D-C401,Adikara Waskita,adikara.984@gmail.com
D-C351,Padmi Hutapea,padmi.387@gmail.com
D-C601,Zahra Hutagalung,zahra.837@gmail.com
D-C180,"Safina Kuswandari, S.Gz",safina.767@gmail.com
D-C396,"Tgk. Unjani Saefullah, S.Kom",tgk..865@gmail.com
D-C350,Warji Laksita,warji.248@gmail.com
D-C366,Dadi Irawan,dadi.232@gmail.com
D-C658,"Dr. Lala Laksita, S.Farm",dr..335@gmail.com
D-C416,"Natalia Kusumo, S.Ked",natalia.457@gmail.com
D-C403,Tami Hidayat,tami.116@gmail.com
D-C647,"Tgk. Puspa Wahyudin, S.E.",tgk..802@gmail.com
D-C243,Daliman Napitupulu,daliman.560@gmail.com
D-C198,"Pranata Maheswara, S.Ked",pranata.707@gmail.com
D-C41,Dadap Hutapea,dadap.253@gmail.com
D-C369,"Umi Mandala, M.Pd",umi.710@gmail.com
D-C379,"R.A. Karimah Sihotang, M.Ak",r.a..170@gmail.com
D-C6,Luthfi Nasyidah,luthfi.535@gmail.com
D-C365,Laila Hutasoit,laila.575@gmail.com
D-C376,Farhunnisa Samosir,farhunnisa.880@gmail.com
D-C440,Hafshah Usamah,hafshah.546@gmail.com
D-C39,Sutan Galih Sitorus,sutan.452@gmail.com
D-C300,Sutan Endra Ramadan,sutan.470@gmail.com
D-C598,Harjasa Wastuti,harjasa.403@gmail.com
D-C278,"Drs. Dian Aryani, S.Ked",drs..648@gmail.com
D-C372,R.M. Jati Wibowo,r.m..986@gmail.com
D-C560,Dr. Febi Prakasa,dr..160@gmail.com
D-C163,Kenari Aryani,kenari.564@gmail.com
D-C68,"Dt. Garang Rahimah, M.Kom.",dt..269@gmail.com
D-C125,Ani Palastri,ani.888@gmail.com
D-C40,R.M. Anom Wulandari,r.m..819@gmail.com
D-C5,Eli Wibisono,eli.322@gmail.com
D-C34,"Najwa Astuti, M.Kom.",najwa.283@gmail.com
D-C437,Puti Napitupulu,puti.729@gmail.com
D-C100,Daliono Waluyo,daliono.405@gmail.com
D-C511,"Jumari Wahyuni, M.M.",jumari.245@gmail.com
D-C237,Novi Waluyo,novi.542@gmail.com
D-C315,R.M. Bagya Hariyah,r.m..920@gmail.com
D-C633,Yunita Nashiruddin,yunita.736@gmail.com
D-C496,Amalia Palastri,amalia.157@gmail.com
D-C290,"R.M. Wisnu Sihombing, S.Kom",r.m..967@gmail.com
D-C340,"Balijan Laksita, S.H.",balijan.957@gmail.com
D-C415,Sidiq Kusumo,sidiq.223@gmail.com
D-C187,Slamet Hasanah,slamet.318@gmail.com
D-C383,Wirda Napitupulu,wirda.622@gmail.com
D-C632,Emas Adriansyah,emas.152@gmail.com
D-C261,Harsanto Farida,harsanto.976@gmail.com
D-C550,Estiono Lailasari,estiono.762@gmail.com
D-C461,Juli Mandasari,juli.443@gmail.com
D-C201,Cayadi Santoso,cayadi.925@gmail.com
D-C648,Mursita Novitasari,mursita.103@gmail.com
D-C79,Titin Sihombing,titin.379@gmail.com
D-C510,"Puti Ghaliyati Simanjuntak, S.Pd",puti.200@gmail.com
D-C43,Okta Hutapea,okta.488@gmail.com
D-C134,Tami Zulkarnain,tami.816@gmail.com
D-C489,"Danu Putra, S.I.Kom",danu.450@gmail.com
D-C569,Tgk. Ajeng Nuraini,tgk..153@gmail.com
D-C251,dr. Galak Nurdiyanti,dr..892@gmail.com
D-C640,Sarah Usamah,sarah.396@gmail.com
D-C435,Zulaikha Maryati,zulaikha.767@gmail.com
D-C380,"Diah Halimah, M.Pd",diah.431@gmail.com
D-C193,Ade Puspasari,ade.502@gmail.com
D-C446,Dr. Cayadi Usada,dr..152@gmail.com
D-C356,Ir. Kasusra Iswahyudi,ir..893@gmail.com
D-C336,Ulva Maulana,ulva.901@gmail.com
D-C525,"Dt. Galih Hakim, S.I.Kom",dt..270@gmail.com
D-C389,Dt. Wardi Gunarto,dt..725@gmail.com
D-C439,Putu Rahimah,putu.741@gmail.com
D-C158,"Chandra Sinaga, S.Gz",chandra.702@gmail.com
D-C450,Cemplunk Nashiruddin,cemplunk.965@gmail.com
D-C527,"Diana Maheswara, M.TI.",diana.897@gmail.com
D-C103,"Warsita Utama, S.Psi",warsita.991@gmail.com
D-C53,Hesti Yuniar,hesti.638@gmail.com
D-C468,Galar Hutagalung,galar.314@gmail.com
D-C555,dr. Ulva Sirait,dr..222@gmail.com
D-C347,Ika Yuniar,ika.775@gmail.com
D-C98,"drg. Iriana Yulianti, S.E.",drg..720@gmail.com
D-C386,Praba Wasita,praba.144@gmail.com
D-C129,Harja Purwanti,harja.670@gmail.com
D-C178,Muni Maulana,muni.681@gmail.com
D-C111,"Laila Rahayu, M.TI.",laila.411@gmail.com
D-C523,Saiful Nasyidah,saiful.573@gmail.com
D-C438,"Icha Saragih, S.I.Kom",icha.195@gmail.com
D-C441,"R.M. Estiono Winarsih, M.M.",r.m..548@gmail.com
D-C501,Ir. Patricia Mahendra,ir..119@gmail.com
D-C143,Kamaria Palastri,kamaria.805@gmail.com
D-C7,Drs. Calista Hassanah,drs..282@gmail.com
D-C268,"Cengkal Wibowo, S.I.Kom",cengkal.327@gmail.com
D-C542,Abyasa Nuraini,abyasa.834@gmail.com
D-C238,Vinsen Rajata,vinsen.682@gmail.com
D-C418,"Lurhur Habibi, S.H.",lurhur.290@gmail.com
D-C59,Pangeran Uwais,pangeran.234@gmail.com
D-C233,Cayadi Siregar,cayadi.635@gmail.com
D-C639,Kambali Purnawati,kambali.376@gmail.com
D-C588,Sarah Zulkarnain,sarah.425@gmail.com
D-C204,Lukita Puspasari,lukita.111@gmail.com
D-C473,Mala Wasita,mala.451@gmail.com
D-C285,Samiah Samosir,samiah.948@gmail.com
D-C538,R.A. Vera Prastuti,r.a..112@gmail.com
D-C3,Ulva Yolanda,ulva.605@gmail.com
D-C218,Ana Firmansyah,ana.974@gmail.com
D-C47,Hadi Mustofa,hadi.560@gmail.com
D-C226,Dimaz Dabukke,dimaz.184@gmail.com
D-C19,"drg. Daru Rajasa, M.Farm",drg..766@gmail.com
D-C169,Ajiono Hardiansyah,ajiono.444@gmail.com
D-C500,Tasnim Marbun,tasnim.836@gmail.com
D-C293,Eko Padmasari,eko.117@gmail.com
D-C508,R. Lukman Wibowo,r..809@gmail.com
D-C528,Maryanto Wibisono,maryanto.709@gmail.com
D-C329,Puji Permata,puji.914@gmail.com
D-C284,Asirwanda Hassanah,asirwanda.795@gmail.com
D-C649,Drs. Maras Riyanti,drs..343@gmail.com
D-C539,Emin Nasyidah,emin.730@gmail.com
D-C524,Eman Prasetyo,eman.614@gmail.com
D-C373,Dartono Saragih,dartono.995@gmail.com
D-C94,"Cut Ani Najmudin, S.Sos",cut.792@gmail.com
D-C214,Ade Lazuardi,ade.499@gmail.com
D-C259,Jelita Yuniar,jelita.719@gmail.com
D-C338,Laila Palastri,laila.600@gmail.com
D-C292,Hardana Napitupulu,hardana.259@gmail.com
D-C423,"Zahra Gunawan, S.E.",zahra.139@gmail.com
D-C107,Dian Widiastuti,dian.360@gmail.com
D-C116,Vanya Hidayanto,vanya.389@gmail.com
D-C405,Okta Rajata,okta.220@gmail.com
D-C37,Drs. Vinsen Pratama,drs..363@gmail.com
D-C454,Liman Haryanto,liman.591@gmail.com
D-C393,Bakijan Natsir,bakijan.768@gmail.com
D-C205,"T. Waluyo Tampubolon, M.Pd",t..175@gmail.com
D-C245,Hasna Prastuti,hasna.320@gmail.com
D-C222,Laras Dongoran,laras.655@gmail.com
D-C247,H. Embuh Oktaviani,h..294@gmail.com
D-C433,Shakila Usamah,shakila.961@gmail.com
D-C465,Jayeng Budiman,jayeng.310@gmail.com
D-C507,Kamaria Nurdiyanti,kamaria.705@gmail.com
D-C352,Kasiyah Hakim,kasiyah.587@gmail.com
D-C250,R. Jinawi Pertiwi,r..148@gmail.com
D-C123,"Almira Agustina, S.E.",almira.610@gmail.com
D-C594,"Ir. Garan Marpaung, M.Pd",ir..895@gmail.com
D-C165,Melinda Wahyudin,melinda.207@gmail.com
D-C630,drg. Soleh Riyanti,drg..691@gmail.com
D-C566,"Rangga Putra, S.Sos",rangga.477@gmail.com
D-C577,Azalea Prasetyo,azalea.319@gmail.com
D-C240,Puti Gunawan,puti.764@gmail.com
D-C84,"drg. Rizki Maulana, M.Kom.",drg..235@gmail.com
D-C460,Wardi Handayani,wardi.216@gmail.com
D-C296,Drs. Kartika Pranowo,drs..591@gmail.com
D-C590,Aisyah Andriani,aisyah.264@gmail.com
D-C71,Kamaria Kusmawati,kamaria.210@gmail.com
D-C434,"R. Parman Irawan, M.Kom.",r..785@gmail.com
D-C398,Kania Samosir,kania.362@gmail.com
D-C99,"Dr. Ika Purnawati, S.E.I",dr..462@gmail.com
D-C484,"Dr. Ellis Januar, M.TI.",dr..138@gmail.com
D-C644,Najwa Nababan,najwa.625@gmail.com
D-C360,Jagapati Anggriawan,jagapati.930@gmail.com
D-C31,"Heryanto Sitorus, S.Farm",heryanto.985@gmail.com
D-C341,Saadat Sinaga,saadat.167@gmail.com
D-C583,"Dr. Clara Maryadi, S.T.",dr..233@gmail.com
D-C128,"Dr. Waluyo Rajata, M.Kom.",dr..654@gmail.com
D-C585,Purwa Anggraini,purwa.895@gmail.com
D-C2,Michelle Yulianti,michelle.542@gmail.com
D-C409,Mahdi Wastuti,mahdi.141@gmail.com
D-C28,"Dian Maheswara, S.I.Kom",dian.470@gmail.com
D-C90,"Ir. Suci Handayani, S.Pd",ir..577@gmail.com
D-C309,Hj. Faizah Ardianto,hj..531@gmail.com
D-C74,Humaira Halimah,humaira.525@gmail.com
D-C185,"dr. Icha Melani, S.Kom",dr..626@gmail.com
D-C172,"Wani Sudiati, S.IP",wani.639@gmail.com
D-C553,Catur Pratiwi,catur.947@gmail.com
D-C531,Zelda Nasyiah,zelda.924@gmail.com
D-C456,"Zulfa Wulandari, S.Pt",zulfa.108@gmail.com
D-C92,Paramita Santoso,paramita.592@gmail.com
D-C534,Rina Sudiati,rina.309@gmail.com
D-C371,"R. Jabal Santoso, M.M.",r..364@gmail.com
D-C604,Laswi Pudjiastuti,laswi.673@gmail.com
D-C126,Azalea Uyainah,azalea.766@gmail.com
D-C638,Kuncara Kusumo,kuncara.896@gmail.com
D-C411,R.A. Karen Melani,r.a..319@gmail.com
D-C316,"Padma Kusumo, S.Pt",padma.916@gmail.com
D-C377,Cici Hardiansyah,cici.360@gmail.com
D-C13,Cahyo Utami,cahyo.782@gmail.com
D-C605,"Karman Pudjiastuti, S.E.",karman.362@gmail.com
D-C517,Karsa Namaga,karsa.170@gmail.com
D-C557,R. Adinata Kusmawati,r..560@gmail.com
D-C239,Dr. Darimin Setiawan,dr..640@gmail.com
D-C115,Sutan Gilang Latupono,sutan.715@gmail.com
D-C558,"T. Omar Saragih, S.Sos",t..630@gmail.com
D-C310,Tgk. Indra Lailasari,tgk..920@gmail.com
D-C410,"Tgk. Imam Tamba, S.IP",tgk..356@gmail.com
D-C144,Ade Pratiwi,ade.112@gmail.com
D-C602,Ghaliyati Rahimah,ghaliyati.310@gmail.com
D-C15,"Ulva Hardiansyah, S.Sos",ulva.942@gmail.com
D-C659,Kemal Mandala,kemal.194@gmail.com
D-C55,Tania Sihombing,tania.406@gmail.com
D-C431,Bella Melani,bella.491@gmail.com
D-C209,drg. Lala Tamba,drg..853@gmail.com
D-C345,Kenari Tampubolon,kenari.472@gmail.com
D-C132,Wirda Prasetyo,wirda.619@gmail.com
D-C381,"Mahmud Halimah, M.TI.",mahmud.971@gmail.com
D-C175,Zulfa Sitompul,zulfa.246@gmail.com
D-C551,Kenes Padmasari,kenes.209@gmail.com
D-C192,Cut Raisa Novitasari,cut.257@gmail.com
D-C271,"Rosman Sihombing, S.H.",rosman.925@gmail.com
D-C408,Widya Santoso,widya.252@gmail.com
D-C611,Praba Puspasari,praba.831@gmail.com
D-C124,Jasmin Thamrin,jasmin.921@gmail.com
D-C139,"Alika Hastuti, S.H.",alika.732@gmail.com
D-C641,"Icha Damanik, S.H.",icha.751@gmail.com
D-C52,"Tira Adriansyah, M.Pd",tira.549@gmail.com
D-C221,"Adiarja Handayani, S.T.",adiarja.164@gmail.com
D-C113,"Najib Prasasta, S.Gz",najib.299@gmail.com
D-C266,"Drs. Ida Yuniar, M.Pd",drs..139@gmail.com
D-C276,Tiara Gunawan,tiara.472@gmail.com
D-C273,H. Daliono Januar,h..381@gmail.com
D-C343,Sabar Prayoga,sabar.383@gmail.com
D-C257,"Jasmani Kuswandari, M.M.",jasmani.320@gmail.com
D-C183,Umi Marbun,umi.568@gmail.com
D-C106,"Mujur Aryani, S.T.",mujur.461@gmail.com
D-C301,Sutan Gaiman Mayasari,sutan.410@gmail.com
D-C447,Suci Sudiati,suci.708@gmail.com
D-C603,Asirwanda Mandala,asirwanda.755@gmail.com
D-C241,Dt. Anom Dabukke,dt..949@gmail.com
D-C231,Usyi Adriansyah,usyi.317@gmail.com
D-C154,"Pangestu Pertiwi, M.Pd",pangestu.910@gmail.com
D-C327,Eka Nababan,eka.589@gmail.com
D-C206,R. Endah Hidayat,r..206@gmail.com
D-C459,Cut Siska Kuswandari,cut.644@gmail.com
D-C522,Dartono Siregar,dartono.740@gmail.com
D-C295,Mutia Mayasari,mutia.502@gmail.com
D-C151,Prasetyo Hardiansyah,prasetyo.968@gmail.com
D-C157,Manah Nababan,manah.843@gmail.com
D-C466,Galur Wacana,galur.595@gmail.com
D-C164,Cemani Situmorang,cemani.946@gmail.com
D-C168,Prakosa Prasetya,prakosa.913@gmail.com
D-C592,drg. Rachel Wastuti,drg..979@gmail.com
D-C207,Vanesa Adriansyah,vanesa.782@gmail.com
D-C189,Laras Pradana,laras.739@gmail.com
D-C321,Manah Mayasari,manah.164@gmail.com
D-C325,Tania Kusumo,tania.938@gmail.com
D-C146,"Chelsea Firmansyah, S.I.Kom",chelsea.153@gmail.com
D-C159,"Okta Hutagalung, S.Sos",okta.659@gmail.com
D-C227,Prasetya Rahmawati,prasetya.849@gmail.com
D-C217,Genta Damanik,genta.490@gmail.com
D-C195,R. Kezia Mulyani,r..363@gmail.com
D-C203,Mahfud Sirait,mahfud.132@gmail.com
D-C299,Arsipatra Prakasa,arsipatra.887@gmail.com
D-C591,Makuta Lailasari,makuta.109@gmail.com
D-C625,Drs. Karen Rajata,drs..208@gmail.com
D-C536,Ir. Damar Simbolon,ir..282@gmail.com
D-C80,Patricia Mandasari,patricia.120@gmail.com
D-C390,Kania Hutapea,kania.200@gmail.com
D-C564,Talia Hasanah,talia.196@gmail.com
D-C176,Bakda Suryatmi,bakda.832@gmail.com
D-C629,"Yuni Saputra, S.E.",yuni.266@gmail.com
D-C95,Oman Zulkarnain,oman.530@gmail.com
D-C230,Ilsa Rajata,ilsa.638@gmail.com
D-C520,Lidya Hardiansyah,lidya.775@gmail.com
D-C281,Almira Mulyani,almira.130@gmail.com
D-C541,Zelda Gunawan,zelda.549@gmail.com
D-C404,Hj. Belinda Yuliarti,hj..801@gmail.com
D-C532,Laras Mandasari,laras.227@gmail.com
D-C229,Caket Siregar,caket.582@gmail.com
D-C101,Ika Anggraini,ika.558@gmail.com
D-C291,Harsaya Putra,harsaya.149@gmail.com
D-C624,"dr. Najib Ramadan, M.Farm",dr..164@gmail.com
D-C445,Lantar Hidayat,lantar.457@gmail.com
